english,urdu,punjabi,marathi,malayalam,kannada,hindi,gujarati,bengali,telugu
nasal discharge,ناک خارج ہونے والا مادہ,ਨਾਸੀ ਡਿਸਚਾਰਜ,नाक डिस्चार्ज,നാസൽ ഡിസ്ചാർജ്,ಮೂಗಿನ ಡಿಸ್ಚಾರ್ಜ್,नाक बहना,નાક સ્રાવ,নাক পরিষ্কার করা,రొంప
nausea,نیزا,ਮਤਲੀ,मळमळ,ഓക്കാനം,ವಾಕರಿಕೆ,जी मिचलाना,ઉબકા,বমি বমি ভাব,వికారం
pale,پیلا,ਪੀਲੇ,फिकट,വിളറിയ,ತೆಳು,पीला,નિસ્તેજ,ম্লান,లేత
palpitations,کھوٹا,ਧੱਫ਼ੜ,palpitations,വിദ്വേഷം,ಉಬ್ಬರವಿಳಿತಗಳು,धड़कन,પલપ્ટેશન,বুক ধড়ফড়,దడ
photophobia,فوٹوفوبیا,ਫੋਟਫੋਬੀਆ,फोटोफोबिया,ഫോട്ടോഫോബിയ,ಫೋಟೋಫೋಬಿಯಾ,प्रकाश की असहनीयता,ફોટોફોબીયા,আলোকাতঙ্ক রোগ,కాంతిభీతి
restlessness,بے معنی,ਬੇਚੈਨੀ,अस्वस्थता,വിശ്രമം,ಚಡಪಡಿಕೆ,बेचैनी,અસ્વસ્થતા,অস্থিরতা,విశ్రాంతి లేకపోవడం
rigors,نٹھرتا,ਮਿਹਨਤ,rigors,രോഷം,ತೀವ್ರತೆಗಳು,कठोरता,કઠોરતા,কঠোরতা,వణుకుడు
running nose,بہتی ناک,ਚੱਲ ਰਹੇ ਨੱਕ,वाहती सर्दी,മൂക്കൊലിപ്പ്,ಸೋರುವ ಮೂಗು,बहता नाक,વહેતી નાક,চলমান নাক,జలుబు
seizures,پریشان,ਦੌਰੇ,दौरे,പിടികൂടുക,ರೋಗಗ್ರಸ್ತವಾಗುವಿಕೆಗಳು,बरामदगी,હુમલાઓ,হৃদরোগের,కంపము
shock,جھٹکا,ਸਦਮਾ,धक्का,ഞെട്ടൽ,ಆಘಾತ,झटका,આંચકો,অভিঘাত,మూర్ఛ
shoulder pain,کندھے درد,ਮੋਢੇ ਦਾ ਦਰਦ,खांदा वेदना,തോളിൽ വേദന,ಭುಜದ ನೋವು,कंधे का दर्द,ખભા પીડા,কাঁধে ব্যথা,భుజం నొప్పి
skin rash,جلد کی رگڑ,ਚਮੜੀ ਦੇ ਧੱਫੜ,त्वचा फोड,തൊലി രശ്മി,ಚರ್ಮದ ತುಂಡು,त्वचा के लाल चकत्ते,ત્વચા ફોલ્લીઓ,চামড়া ফুসকুড়ি,చర్మం పై దద్దుర్లు
sore throat,گلے کی سوزش,ਗਲੇ ਵਿੱਚ ਖਰਾਸ਼,घसा दुखणे,തൊണ്ടവേദന,ಗಂಟಲು ಕೆರತ,गले में खराश,સુકુ ગળું,গলা ব্যথা,గొంతు మంట
sputum,اسپتم,ਥੁੱਕ,कपाट,സ്പാട്ട്,ಕವಚ,थूक,શુક્રાણુ,থুতু,కఫం
stiffness of limbs,انگوٹھے کی سختی,ਅੰਗਾਂ ਦੀ ਕਠੋਰਤਾ,अंगांचा कडकपणा,കൈകാലുകളുടെ ദൃഢത,ಅಂಗಗಳ ಠೀವಿ,अंगों की कठोरता,અંગોની કઠોરતા,অঙ্গরাগ শক্ত,అవయవాల  బిగువు
stupor,بیوکوف,ਘਬਰਾਹਟ,मूर्ख,മന്ദബുദ്ധി,ಸಂಶಯ,व्यामोह,મૂર્ખ,অসাড়তা,సగము తెలివితో
sweating,پسینہ,ਪਸੀਨੇ,घाम येणे,വിയർപ്പ്,ಬೆವರುವುದು,पसीना आना,પરસેવો,ঘাম,స్వేద
urine volume low,پیشاب کی مقدار کم ہے,ਪੇਸ਼ਾਬ ਵਾਲੀਅਮ ਘੱਟ,मूत्र वायू कमी,മൂത്രത്തിന്റെ അളവ് കുറവാണ്,ಮೂತ್ರದ ಪ್ರಮಾಣ ಕಡಿಮೆ,मूत्र की मात्रा कम है,પેશાબની માત્રા ઓછી છે,প্রস্রাব কম পরিমাণে,మూత్ర పరిమాణం తక్కువ
vomiting,الٹی,ਉਲਟੀਆਂ,उलट्या,ഛർദ്ദി,ವಾಂತಿ,उल्टी,ઉલ્ટી,বমি,వాంతులు
weight loss,وزن میں کمی,ਵਜ਼ਨ ਘਟਾਉਣਾ,वजन कमी होणे,ഭാരനഷ്ടം,ತೂಕ ಇಳಿಕೆ,वजन घटना,વજનમાં ઘટાડો,ওজন কমানো,బరువు నష్టం
weakness,کمزوری,ਕਮਜ਼ੋਰੀ,अशक्तपणा,ബലഹീനത,ದೌರ್ಬಲ್ಯ,दुर्बलता,નબળાઇ,দুর্বলতা,బలహీనత
wheeze,پہلو,ਵ੍ਹਸਜ਼,चोळणे,wheeze,ಗಾಳಿ,व्हीज़,વ્હીઝ,সাঁসাঁ করিয়া নিঃশ্বাস ফেলা,గురక
